Species,SpecCode,CommonName,ITOFF.Group,Kingdom,Phylum,Class,Order,Family,Genus,System,Group,Status,EstabwildSuccess,Means_Introduction,IUCN_Status,Polar,Boreal,Temperate,SubTropical,Tropical,Impacting,Impacted_by,ReproMode,Fertilization,RepGuild1,RepGuild2,Spawning,MeanFecundity,MinFecundity,MaxFecundity,BroodSize,AgeMaturity_Years_Estimate,MeanAgeMaturity_Years,GenerationTime_Years_Estimate,TrophicLevel_Estimate,TrophicLevel,FeedingType,Relative_BrainWeight,Longevity_Years_Estimate,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,TolerableTemp_min,TolerableTemp_max,Temp_Range_tolerable,Sources
Etheostoma fonticola,3422,Fountain darter,1,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Nonnative,Reported,,,EN,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,two seasonal peaks per year,389.5,389.5,389.5,,0.7,,0.9,3.2,,,,2,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Etheostoma fusiforme,3424,Swamp darter,1,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Nonnative,Established,,,LC,,,1,,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.9,,1.2,3.2,,,,2.7,,,,14,26,12,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Etheostoma zonale,3483,Banded darter,1,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Nonnative,Invasive,,,LC,,,1,,,Etheostoma olmstedi (Unclear),,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,225,,1.1,,1.5,3.3,,,,3.5,,,8.100000381,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Fundulus diaphanus,3190,Banded killifish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Freshwater_Brackish,Nonnative,Established,,Aquaria; Fishing recreation,LC,,1,1,,,,,dioecism,external,nonguarders,,,,,50,,1.1,,1.4,,3.18,variable,,3.6,,,11,10,25,15,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Fundulus lineolatus,3194,Lined topminnow,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Freshwater,Nonnative,Reported,,Fishing recreation,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.8,,1,3.2,,,,2.4,,,,18,24,6,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Fundulus zebrinus,3208,Plains killifish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Freshwater_Brackish,Nonnative,Established,1,Fishing recreation,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.7,,1,3.2,,,,2.3,,,,20,25,5,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Galaxias maculatus,7579,Inanga,1,Animalia,Chordata,Actinopterygii,Galaxiiformes,Galaxiidae,Galaxias,Freshwater_Brackish_Marine,Nonnative,Invasive,,,LC,,,1,1,1,Galaxias fontanus (Unclear),,dioecism,external,nonguarders,open water/substratum egg scatterers,,6837.5,175,13500,,2.5,,3.4,3.2,,,,8.5,,,,10,22,12,,,,Fishbase
Gila orcuttii,2766,Arroyo chub,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Gila,Freshwater,Nonnative,Established,0,Fishing recreation; Conservation,VU,,,1,1,,,,dioecism,external,nonguarders,,,,,,,4.3,,5.1,2,,,,17.8,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Gobio gobio,4478,Gudgeon,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Gobionidae,Gobio,Freshwater_Brackish,Nonnative,Invasive,1,Forage; Accidental; Fishing recreation; Fisheries,LC,,1,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,variable throughout range,2000,1000,3000,,,2.428571429,2.8,,3.13,predator,3.767772512,,6.5,,11.4375,2,18,16,,,,IUCN; Fishbase
Gymnocorymbus ternetzi,4682,Black tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Gymnocorymbus,Freshwater,Nonnative,Invasive,1,Fish farms; Ornamental,,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,,3.12,predator,,,,,,20,26,6,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Gyrinocheilus aymonieri,12298,Siamese algae-eater,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Gyrinocheilidae,Gyrinocheilus,Freshwater,Nonnative,Invasive,1,Aquaria; Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,,,,,2.52,grazer,,,,,,25,28,3,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Hemibarbus maculatus,4752,Spotted steed,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hemibarbus,Freshwater,Nonnative,Invasive,1,Stocking; Diffused from other countries; Accidental,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,,,,4,4.8,,3.45,predator,,16,,,32,20,24,4,10,24,14,USGS-NAS; CABI-ISC; Fishbase; IUCN
Herklotsichthys quadrimaculatus,1494,Bluestripe herring,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Herklotsichthys,Freshwater_Brackish_Marine,Nonnative,Invasive,1,Accidental,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,throughout the year; but peaking once,5658.5,3218.333333,5176,291,0.48,,1.1,,3.269999981,predator,,2.8,,,19.5,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Hiodon alosoides,2666,Goldeye,1,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Hiodontidae,Hiodon,Freshwater,Nonnative,Reported,,,LC,,1,1,,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,15499.5,5761,25238,,,6.5,6.9,,3.74,,,14,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Hybognathus hankinsoni,2773,Brassy minnow,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,Freshwater,Nonnative,Reported,,Fishing recreation,LC,,1,1,,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,1.5,2,,3.09,variable,,4.8,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Hybognathus nuchalis,2775,Mississippi silvery minnow,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,Freshwater,Nonnative,Reported,,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,,,,,2,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Hybognathus placitus,2776,Plains minnow,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,Freshwater_Brackish,Nonnative,Invasive,,Unintentional recreation,LC,,,1,1,,Hybognathus amarus (Competition),,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.8,,2.5,,,,,6.4,,,,,,,,,,USGS-NAS; IUCN; Fishbase
